RAL,pl,en,de,nl,fr,it,es,lt
RAL 8002,Brązowy sygnałowy,Signal brown,Signalbraun,Signaalbruin,Brun de sécurité,Marrone segnale,Marrón señales,Signalinė ruda
RAL 8003,Clay brązowy,Clay brown,Lehmbraun,Leembruin,Brun argile,Marrone fango,Pardo arcilla,Molio ruda
RAL 8004,Brązowy miedziany,Copper brown,Kupferbraun,Koperbruin,Brun cuivré,Marrone rame,Pardo cobre,Vario ruda
RAL 8007,Brąz sarny,Fawn brown,Rehbraun,Reebruin,Brun fauve,Marrone capriolo,Pardo corzo,Gelsvai ruda
RAL 8008,Brązowy oliwkowy,Olive brown,Olivbraun,Olijfbruin,Brun olive,Marrone oliva,Pardo oliva,Alyvuogių ruda
RAL 8011,Brązowy orzechowy,Nut brown,Nussbraun,Notenbruin,Brun noisette,Marrone noce,Pardo nuez,Riešuto ruda
RAL 8012,Brązowy czerwony,Red brown,Rotbraun,Roodbruin,Brun rouge,Marrone rossiccio,Pardo rojo,Raudonai ruda
RAL 8014,Sepia brązowy,Sepia brown,Sepiabraun,Sepiabruin,Brun sépia,Marrone seppia,Sepia,Sepijos ruda
RAL 8015,Kasztanowy,Chestnut brown,Kastanienbraun,Kastanjebruin,Marron,Marrone castagna,Castaño,Kaštono ruda
RAL 8016,Mahoniowy brąz,Mahogany brown,Mahagonibraun,Mahoniebruin,Brun acajou,Marrone mogano,Caoba,Raudonmedžio ruda
RAL 8017,Brąz czekoladowy,Chocolate brown,Schokoladenbraun,Chocoladebruin,Brun chocolat,Marrone cioccolata,Chocolate,Šokolado ruda
RAL 8019,Szaro brązowy,Grey brown,Graubraun,Grijsbruin,Brun gris,Marrone grigiastro,Pardo grisáceo,Pilkai ruda
RAL 8022,Czarny brązowy,Black brown,Schwarzbraun,Zwartbruin,Brun noir,Marrone nerastro,Pardo negruzco,Juodai ruda
RAL 8023,Brązowy pomarańczowy,Orange brown,Orangebraun,Oranjebruin,Brun orangé,Marrone arancio,Pardo anaranjado,Oranžinė ruda
RAL 8024,Beżowo-brązowy,Beige brown,Beigebraun,Beigebruin,Brun beige,Marrone beige,Pardo beige,Smėlio ruda
RAL 8025,Brązowy blady,Pale brown,Blassbraun,Bleekbruin,Brun pâle,Marrone pallido,Pardo pálido,Blyški ruda
RAL 8028,Terra brązowy,Terra brown,Terrabraun,Terrabruin,Brun terre,Marrone terra,Marrón tierra,Terra ruda
RAL 8029,Perłowa miedź,Pearl copper,Perlkupfer,Parelmoer koper,Cuivre nacré,Rame perlato,Cobre perlado,Perlo varinė ruda
RAL 9001,Krem,Cream,Cremeweiß,Crèmewit,Blanc crème,Bianco crema,Blanco crema,inė
RAL 9002,Szaro-biały,Grey white,Grauweiß,Grijswit,Blanc gris,Bianco grigiastro,Blanco grisáceo,Pilkai balta
RAL 9003,Biały sygnałowy,Signal white,Signalweiß,Signaalwit,Blanc de sécurité,Bianco segnale,Blanco señales,Signalinė balta
